prompt,response,formula,expected_prop_val,after_alignn_prop_val,gen_material_str,gen_material_cif,Alexandria,Alexandria_id,MC3D,MC3D_id,OQMD,OQMD_id,JARVIS,JARVIS_id,MaterialsProject,MaterialsProject_id,Match_Found,Matched_Formula
"Below is a description of a superconductor material. Write a response that appropriately completes the request.

### Instruction:
Generate atomic structure description with lattice lengths, angles, coordinates and atom types.

### Input:
The chemical formula is RaAl3. The  mbj_bandgap value is 4.552.

### Response:
","['Below is a description of a superconductor material. Write a response that appropriately completes the request.\n\n### Instruction:\nGenerate atomic structure description with lattice lengths, angles, coordinates and atom types.\n\n### Input:\nThe chemical formula is RaAl3. The  mbj_bandgap value is 4.552.\n\n### Response:\n4.3 4.3 4.3\n90 90 90\nRa\n0.00 0.00 0.00\nAl\n0.00 0.50 0.50\nAl\n0.50 0.50 0.00\nAl\n0.50 0.00 0.50']",RaAl3,4.552,,"4.3 4.3 4.3
90 90 90
Ra
0.00 0.00 0.00
Al
0.00 0.50 0.50
Al
0.50 0.50 0.00
Al
0.50 0.00 0.50","# generated using pymatgen
data_RaAl3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.30000000
_cell_length_b   4.30000000
_cell_length_c   4.30000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   RaAl3
_chemical_formula_sum   'Ra1 Al3'
_cell_volume   79.50700000
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ra  Ra0  1  0.00000000  0.00000000  0.00000000  1
  Al  Al1  1  0.00000000  0.50000000  0.50000000  1
  Al  Al2  1  0.50000000  0.50000000  0.00000000  1
  Al  Al3  1  0.50000000  0.00000000  0.50000000  1
",,,,,,,,,,,,
"Below is a description of a superconductor material. Write a response that appropriately completes the request.

### Instruction:
Generate atomic structure description with lattice lengths, angles, coordinates and atom types.

### Input:
The chemical formula is RaGa3. The  mbj_bandgap value is 4.201.

### Response:
","['Below is a description of a superconductor material. Write a response that appropriately completes the request.\n\n### Instruction:\nGenerate atomic structure description with lattice lengths, angles, coordinates and atom types.\n\n### Input:\nThe chemical formula is RaGa3. The  mbj_bandgap value is 4.201.\n\n### Response:\n4.3 4.3 4.3\n90 90 90\nRa\n0.00 0.00 0.00\nGa\n0.50 0.00 0.50\nGa\n0.00 0.50 0.50\nGa\n0.50 0.50 0.00']",RaGa3,4.201,,"4.3 4.3 4.3
90 90 90
Ra
0.00 0.00 0.00
Ga
0.50 0.00 0.50
Ga
0.00 0.50 0.50
Ga
0.50 0.50 0.00","# generated using pymatgen
data_RaGa3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.30000000
_cell_length_b   4.30000000
_cell_length_c   4.30000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   RaGa3
_chemical_formula_sum   'Ra1 Ga3'
_cell_volume   79.50700000
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ra  Ra0  1  0.00000000  0.00000000  0.00000000  1
  Ga  Ga1  1  0.50000000  0.00000000  0.50000000  1
  Ga  Ga2  1  0.00000000  0.50000000  0.50000000  1
  Ga  Ga3  1  0.50000000  0.50000000  0.00000000  1
",,,,,,,,,,,,
"Below is a description of a superconductor material. Write a response that appropriately completes the request.

### Instruction:
Generate atomic structure description with lattice lengths, angles, coordinates and atom types.

### Input:
The chemical formula is RaCd3. The  mbj_bandgap value is 4.858.

### Response:
","['Below is a description of a superconductor material. Write a response that appropriately completes the request.\n\n### Instruction:\nGenerate atomic structure description with lattice lengths, angles, coordinates and atom types.\n\n### Input:\nThe chemical formula is RaCd3. The  mbj_bandgap value is 4.858.\n\n### Response:\n5.1 5.1 5.1\n60 60 60\nRa\n0.00 0.00 0.00\nCd\n0.25 0.25 0.25\nCd\n0.75 0.75 0.75\nCd\n0.50 0.50 0.50']",RaCd3,4.858,,"5.1 5.1 5.1
60 60 60
Ra
0.00 0.00 0.00
Cd
0.25 0.25 0.25
Cd
0.75 0.75 0.75
Cd
0.50 0.50 0.50","# generated using pymatgen
data_RaCd3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.10000000
_cell_length_b   5.10000000
_cell_length_c   5.10000000
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   RaCd3
_chemical_formula_sum   'Ra1 Cd3'
_cell_volume   93.79842163
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ra  Ra0  1  0.00000000  0.00000000  0.00000000  1
  Cd  Cd1  1  0.25000000  0.25000000  0.25000000  1
  Cd  Cd2  1  0.75000000  0.75000000  0.75000000  1
  Cd  Cd3  1  0.50000000  0.50000000  0.50000000  1
",,,,,,,,,,,,
"Below is a description of a superconductor material. Write a response that appropriately completes the request.

### Instruction:
Generate atomic structure description with lattice lengths, angles, coordinates and atom types.

### Input:
The chemical formula is RaTe3. The  mbj_bandgap value is 2.94.

### Response:
","['Below is a description of a superconductor material. Write a response that appropriately completes the request.\n\n### Instruction:\nGenerate atomic structure description with lattice lengths, angles, coordinates and atom types.\n\n### Input:\nThe chemical formula is RaTe3. The  mbj_bandgap value is 2.94.\n\n### Response:\n4.4 4.4 13.9\n90 99 90\nRa\n0.78 0.25 0.66\nRa\n0.22 0.75 0.34\nTe\n0.36 0.25 0.23\nTe\n0.64 0.75 0.77\nTe\n0.91 0.75 0.43\nTe\n0.09 0.25 0.57\nTe\n0.56 0.75 0.06\nTe\n0.44 0.25 0.94']",RaTe3,2.94,,"4.4 4.4 13.9
90 99 90
Ra
0.78 0.25 0.66
Ra
0.22 0.75 0.34
Te
0.36 0.25 0.23
Te
0.64 0.75 0.77
Te
0.91 0.75 0.43
Te
0.09 0.25 0.57
Te
0.56 0.75 0.06
Te
0.44 0.25 0.94","# generated using pymatgen
data_RaTe3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.40000000
_cell_length_b   4.40000000
_cell_length_c   13.90000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   99.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   RaTe3
_chemical_formula_sum   'Ra2 Te6'
_cell_volume   265.79088321
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ra  Ra0  1  0.78000000  0.25000000  0.66000000  1
  Ra  Ra1  1  0.22000000  0.75000000  0.34000000  1
  Te  Te2  1  0.36000000  0.25000000  0.23000000  1
  Te  Te3  1  0.64000000  0.75000000  0.77000000  1
  Te  Te4  1  0.91000000  0.75000000  0.43000000  1
  Te  Te5  1  0.09000000  0.25000000  0.57000000  1
  Te  Te6  1  0.56000000  0.75000000  0.06000000  1
  Te  Te7  1  0.44000000  0.25000000  0.94000000  1
",,,,,,,,,,,,
"Below is a description of a superconductor material. Write a response that appropriately completes the request.

### Instruction:
Generate atomic structure description with lattice lengths, angles, coordinates and atom types.

### Input:
The chemical formula is RaGe3. The  mbj_bandgap value is 3.222.

### Response:
","['Below is a description of a superconductor material. Write a response that appropriately completes the request.\n\n### Instruction:\nGenerate atomic structure description with lattice lengths, angles, coordinates and atom types.\n\n### Input:\nThe chemical formula is RaGe3. The  mbj_bandgap value is 3.222.\n\n### Response:\n4.3 4.3 5.8\n111 111 90\nRa\n0.00 0.00 0.00\nGe\n0.25 0.75 0.50\nGe\n0.75 0.25 0.50\nGe\n0.50 0.50 0.00']",RaGe3,3.222,,"4.3 4.3 5.8
111 111 90
Ra
0.00 0.00 0.00
Ge
0.25 0.75 0.50
Ge
0.75 0.25 0.50
Ge
0.50 0.50 0.00","# generated using pymatgen
data_RaGe3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.30000000
_cell_length_b   4.30000000
_cell_length_c   5.80000000
_cell_angle_alpha   111.00000000
_cell_angle_beta   111.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   RaGe3
_chemical_formula_sum   'Ra1 Ge3'
_cell_volume   92.44887567
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ra  Ra0  1  0.00000000  0.00000000  0.00000000  1
  Ge  Ge1  1  0.25000000  0.75000000  0.50000000  1
  Ge  Ge2  1  0.75000000  0.25000000  0.50000000  1
  Ge  Ge3  1  0.50000000  0.50000000  0.00000000  1
",,,,,,,,,,,,
"Below is a description of a superconductor material. Write a response that appropriately completes the request.

### Instruction:
Generate atomic structure description with lattice lengths, angles, coordinates and atom types.

### Input:
The chemical formula is RaSe3. The  mbj_bandgap value is 4.028.

### Response:
","['Below is a description of a superconductor material. Write a response that appropriately completes the request.\n\n### Instruction:\nGenerate atomic structure description with lattice lengths, angles, coordinates and atom types.\n\n### Input:\nThe chemical formula is RaSe3. The  mbj_bandgap value is 4.028.\n\n### Response:\n6.4 7.6 10.9\n90 90 90\nRa\n0.25 0.73 0.08\nRa\n0.75 0.27 0.92\nRa\n0.25 0.23 0.42\nRa\n0.75 0.77 0.58\nSe\n0.25 0.52 0.84\nSe\n0.75 0.48 0.16\nSe\n0.25 0.02 0.66\nSe\n0.75 0.98 0.34\nSe\n0.25 0.34 0.07\nSe\n0.75 0.66 0.93\nSe\n0.25 0.84 0.43\nSe\n0.75 0.16 0.57\nSe\n0.25 0.59 0.38\nSe\n0.75 0.41 0.62\nSe\n0.25 0.09 0.12\nSe\n0.75 0.91 0.88']",RaSe3,4.028,,"6.4 7.6 10.9
90 90 90
Ra
0.25 0.73 0.08
Ra
0.75 0.27 0.92
Ra
0.25 0.23 0.42
Ra
0.75 0.77 0.58
Se
0.25 0.52 0.84
Se
0.75 0.48 0.16
Se
0.25 0.02 0.66
Se
0.75 0.98 0.34
Se
0.25 0.34 0.07
Se
0.75 0.66 0.93
Se
0.25 0.84 0.43
Se
0.75 0.16 0.57
Se
0.25 0.59 0.38
Se
0.75 0.41 0.62
Se
0.25 0.09 0.12
Se
0.75 0.91 0.88","# generated using pymatgen
data_RaSe3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.40000000
_cell_length_b   7.60000000
_cell_length_c   10.90000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   RaSe3
_chemical_formula_sum   'Ra4 Se12'
_cell_volume   530.17600000
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ra  Ra0  1  0.25000000  0.73000000  0.08000000  1
  Ra  Ra1  1  0.75000000  0.27000000  0.92000000  1
  Ra  Ra2  1  0.25000000  0.23000000  0.42000000  1
  Ra  Ra3  1  0.75000000  0.77000000  0.58000000  1
  Se  Se4  1  0.25000000  0.52000000  0.84000000  1
  Se  Se5  1  0.75000000  0.48000000  0.16000000  1
  Se  Se6  1  0.25000000  0.02000000  0.66000000  1
  Se  Se7  1  0.75000000  0.98000000  0.34000000  1
  Se  Se8  1  0.25000000  0.34000000  0.07000000  1
  Se  Se9  1  0.75000000  0.66000000  0.93000000  1
  Se  Se10  1  0.25000000  0.84000000  0.43000000  1
  Se  Se11  1  0.75000000  0.16000000  0.57000000  1
  Se  Se12  1  0.25000000  0.59000000  0.38000000  1
  Se  Se13  1  0.75000000  0.41000000  0.62000000  1
  Se  Se14  1  0.25000000  0.09000000  0.12000000  1
  Se  Se15  1  0.75000000  0.91000000  0.88000000  1
",,,,,,,,,,,,
"Below is a description of a superconductor material. Write a response that appropriately completes the request.

### Instruction:
Generate atomic structure description with lattice lengths, angles, coordinates and atom types.

### Input:
The chemical formula is RaS3. The  mbj_bandgap value is 4.265.

### Response:
","['Below is a description of a superconductor material. Write a response that appropriately completes the request.\n\n### Instruction:\nGenerate atomic structure description with lattice lengths, angles, coordinates and atom types.\n\n### Input:\nThe chemical formula is RaS3. The  mbj_bandgap value is 4.265.\n\n### Response:\n6.0 7.3 9.6\n90 90 90\nRa\n0.93 0.62 0.75\nRa\n0.43 0.88 0.25\nRa\n0.57 0.12 0.75\nRa\n0.07 0.38 0.25\nS\n0.68 0.30 0.43\nS\n0.18 0.20 0.57\nS\n0.82 0.80 0.07\nS\n0.32 0.70 0.93\nS\n0.68 0.30 0.07\nS\n0.18 0.20 0.93\nS\n0.82 0.80 0.43\nS\n0.32 0.70 0.57\nS\n0.96 0.48 0.25\nS\n0.46 0.02 0.75\nS\n0.54 0.98 0.25\nS\n0.04 0.52 0.75']",RaS3,4.265,,"6.0 7.3 9.6
90 90 90
Ra
0.93 0.62 0.75
Ra
0.43 0.88 0.25
Ra
0.57 0.12 0.75
Ra
0.07 0.38 0.25
S
0.68 0.30 0.43
S
0.18 0.20 0.57
S
0.82 0.80 0.07
S
0.32 0.70 0.93
S
0.68 0.30 0.07
S
0.18 0.20 0.93
S
0.82 0.80 0.43
S
0.32 0.70 0.57
S
0.96 0.48 0.25
S
0.46 0.02 0.75
S
0.54 0.98 0.25
S
0.04 0.52 0.75","# generated using pymatgen
data_RaS3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.00000000
_cell_length_b   7.30000000
_cell_length_c   9.60000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   RaS3
_chemical_formula_sum   'Ra4 S12'
_cell_volume   420.48000000
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ra  Ra0  1  0.93000000  0.62000000  0.75000000  1
  Ra  Ra1  1  0.43000000  0.88000000  0.25000000  1
  Ra  Ra2  1  0.57000000  0.12000000  0.75000000  1
  Ra  Ra3  1  0.07000000  0.38000000  0.25000000  1
  S  S4  1  0.68000000  0.30000000  0.43000000  1
  S  S5  1  0.18000000  0.20000000  0.57000000  1
  S  S6  1  0.82000000  0.80000000  0.07000000  1
  S  S7  1  0.32000000  0.70000000  0.93000000  1
  S  S8  1  0.68000000  0.30000000  0.07000000  1
  S  S9  1  0.18000000  0.20000000  0.93000000  1
  S  S10  1  0.82000000  0.80000000  0.43000000  1
  S  S11  1  0.32000000  0.70000000  0.57000000  1
  S  S12  1  0.96000000  0.48000000  0.25000000  1
  S  S13  1  0.46000000  0.02000000  0.75000000  1
  S  S14  1  0.54000000  0.98000000  0.25000000  1
  S  S15  1  0.04000000  0.52000000  0.75000000  1
",,,,,,,,,,,,
"Below is a description of a superconductor material. Write a response that appropriately completes the request.

### Instruction:
Generate atomic structure description with lattice lengths, angles, coordinates and atom types.

### Input:
The chemical formula is RaAs3. The  mbj_bandgap value is 3.235.

### Response:
","['Below is a description of a superconductor material. Write a response that appropriately completes the request.\n\n### Instruction:\nGenerate atomic structure description with lattice lengths, angles, coordinates and atom types.\n\n### Input:\nThe chemical formula is RaAs3. The  mbj_bandgap value is 3.235.\n\n### Response:\n5.5 5.5 9.8\n90 90 120\nRa\n0.33 0.67 0.25\nRa\n0.67 0.33 0.75\nAs\n0.67 0.33 0.43\nAs\n0.67 0.33 0.07\nAs\n0.00 0.00 0.25\nAs\n0.00 0.00 0.75\nAs\n0.33 0.67 0.93\nAs\n0.33 0.67 0.57']",RaAs3,3.235,,"5.5 5.5 9.8
90 90 120
Ra
0.33 0.67 0.25
Ra
0.67 0.33 0.75
As
0.67 0.33 0.43
As
0.67 0.33 0.07
As
0.00 0.00 0.25
As
0.00 0.00 0.75
As
0.33 0.67 0.93
As
0.33 0.67 0.57","# generated using pymatgen
data_RaAs3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.50000000
_cell_length_b   5.50000000
_cell_length_c   9.80000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   RaAs3
_chemical_formula_sum   'Ra2 As6'
_cell_volume   256.73323095
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ra  Ra0  1  0.33000000  0.67000000  0.25000000  1
  Ra  Ra1  1  0.67000000  0.33000000  0.75000000  1
  As  As2  1  0.67000000  0.33000000  0.43000000  1
  As  As3  1  0.67000000  0.33000000  0.07000000  1
  As  As4  1  0.00000000  0.00000000  0.25000000  1
  As  As5  1  0.00000000  0.00000000  0.75000000  1
  As  As6  1  0.33000000  0.67000000  0.93000000  1
  As  As7  1  0.33000000  0.67000000  0.57000000  1
",,,,,,,,,,,,
"Below is a description of a superconductor material. Write a response that appropriately completes the request.

### Instruction:
Generate atomic structure description with lattice lengths, angles, coordinates and atom types.

### Input:
The chemical formula is RaB3. The  mbj_bandgap value is 4.992.

### Response:
","['Below is a description of a superconductor material. Write a response that appropriately completes the request.\n\n### Instruction:\nGenerate atomic structure description with lattice lengths, angles, coordinates and atom types.\n\n### Input:\nThe chemical formula is RaB3. The  mbj_bandgap value is 4.992.\n\n### Response:\n4.3 4.3 4.3\n90 90 90\nRa\n0.00 0.00 0.00\nB\n0.50 0.50 0.00\nB\n0.50 0.00 0.50\nB\n0.00 0.50 0.50']",RaB3,4.992,,"4.3 4.3 4.3
90 90 90
Ra
0.00 0.00 0.00
B
0.50 0.50 0.00
B
0.50 0.00 0.50
B
0.00 0.50 0.50","# generated using pymatgen
data_RaB3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.30000000
_cell_length_b   4.30000000
_cell_length_c   4.30000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   RaB3
_chemical_formula_sum   'Ra1 B3'
_cell_volume   79.50700000
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ra  Ra0  1  0.00000000  0.00000000  0.00000000  1
  B  B1  1  0.50000000  0.50000000  0.00000000  1
  B  B2  1  0.50000000  0.00000000  0.50000000  1
  B  B3  1  0.00000000  0.50000000  0.50000000  1
",,,,,,,,,,,,
"Below is a description of a superconductor material. Write a response that appropriately completes the request.

### Instruction:
Generate atomic structure description with lattice lengths, angles, coordinates and atom types.

### Input:
The chemical formula is RaZn3. The  mbj_bandgap value is 3.176.

### Response:
","['Below is a description of a superconductor material. Write a response that appropriately completes the request.\n\n### Instruction:\nGenerate atomic structure description with lattice lengths, angles, coordinates and atom types.\n\n### Input:\nThe chemical formula is RaZn3. The  mbj_bandgap value is 3.176.\n\n### Response:\n4.3 4.3 4.3\n90 90 90\nRa\n0.00 0.00 0.00\nZn\n0.00 0.50 0.50\nZn\n0.50 0.00 0.50\nZn\n0.50 0.50 0.00']",RaZn3,3.176,,"4.3 4.3 4.3
90 90 90
Ra
0.00 0.00 0.00
Zn
0.00 0.50 0.50
Zn
0.50 0.00 0.50
Zn
0.50 0.50 0.00","# generated using pymatgen
data_RaZn3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.30000000
_cell_length_b   4.30000000
_cell_length_c   4.30000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   RaZn3
_chemical_formula_sum   'Ra1 Zn3'
_cell_volume   79.50700000
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ra  Ra0  1  0.00000000  0.00000000  0.00000000  1
  Zn  Zn1  1  0.00000000  0.50000000  0.50000000  1
  Zn  Zn2  1  0.50000000  0.00000000  0.50000000  1
  Zn  Zn3  1  0.50000000  0.50000000  0.00000000  1
",,,,,,,,,,,,
"Below is a description of a superconductor material. Write a response that appropriately completes the request.

### Instruction:
Generate atomic structure description with lattice lengths, angles, coordinates and atom types.

### Input:
The chemical formula is RaCu3. The  mbj_bandgap value is 3.499.

### Response:
","['Below is a description of a superconductor material. Write a response that appropriately completes the request.\n\n### Instruction:\nGenerate atomic structure description with lattice lengths, angles, coordinates and atom types.\n\n### Input:\nThe chemical formula is RaCu3. The  mbj_bandgap value is 3.499.\n\n### Response:\n4.7 4.7 4.7\n131 131 70\nRa\n0.00 0.00 0.00\nCu\n0.75 0.25 0.50\nCu\n0.25 0.75 0.50\nCu\n0.50 0.50 0.00']",RaCu3,3.499,,"4.7 4.7 4.7
131 131 70
Ra
0.00 0.00 0.00
Cu
0.75 0.25 0.50
Cu
0.25 0.75 0.50
Cu
0.50 0.50 0.00","# generated using pymatgen
data_RaCu3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.70000000
_cell_length_b   4.70000000
_cell_length_c   4.70000000
_cell_angle_alpha   131.00000000
_cell_angle_beta   131.00000000
_cell_angle_gamma   70.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   RaCu3
_chemical_formula_sum   'Ra1 Cu3'
_cell_volume   58.41974187
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ra  Ra0  1  0.00000000  0.00000000  0.00000000  1
  Cu  Cu1  1  0.75000000  0.25000000  0.50000000  1
  Cu  Cu2  1  0.25000000  0.75000000  0.50000000  1
  Cu  Cu3  1  0.50000000  0.50000000  0.00000000  1
",,,,,,,,,,,,
"Below is a description of a superconductor material. Write a response that appropriately completes the request.

### Instruction:
Generate atomic structure description with lattice lengths, angles, coordinates and atom types.

### Input:
The chemical formula is RaP3. The  mbj_bandgap value is 4.488.

### Response:
","['Below is a description of a superconductor material. Write a response that appropriately completes the request.\n\n### Instruction:\nGenerate atomic structure description with lattice lengths, angles, coordinates and atom types.\n\n### Input:\nThe chemical formula is RaP3. The  mbj_bandgap value is 4.488.\n\n### Response:\n4.6 7.0 7.6\n93 106 90\nRa\n0.84 0.56 0.67\nRa\n0.16 0.44 0.33\nRa\n0.50 0.00 0.00\nP\n0.14 0.93 0.28\nP\n0.86 0.07 0.72\nP\n0.68 0.83 0.37\nP\n0.32 0.17 0.63\nP\n0.44 0.67 0.88\nP\n0.56 0.33 0.12']",RaP3,4.488,,"4.6 7.0 7.6
93 106 90
Ra
0.84 0.56 0.67
Ra
0.16 0.44 0.33
Ra
0.50 0.00 0.00
P
0.14 0.93 0.28
P
0.86 0.07 0.72
P
0.68 0.83 0.37
P
0.32 0.17 0.63
P
0.44 0.67 0.88
P
0.56 0.33 0.12","# generated using pymatgen
data_RaP2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.60000000
_cell_length_b   7.00000000
_cell_length_c   7.60000000
_cell_angle_alpha   93.00000000
_cell_angle_beta   106.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   RaP2
_chemical_formula_sum   'Ra3 P6'
_cell_volume   234.89104665
_cell_formula_units_Z   3
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ra  Ra0  1  0.84000000  0.56000000  0.67000000  1
  Ra  Ra1  1  0.16000000  0.44000000  0.33000000  1
  Ra  Ra2  1  0.50000000  0.00000000  0.00000000  1
  P  P3  1  0.14000000  0.93000000  0.28000000  1
  P  P4  1  0.86000000  0.07000000  0.72000000  1
  P  P5  1  0.68000000  0.83000000  0.37000000  1
  P  P6  1  0.32000000  0.17000000  0.63000000  1
  P  P7  1  0.44000000  0.67000000  0.88000000  1
  P  P8  1  0.56000000  0.33000000  0.12000000  1
",,,,,,,,,,,,
